h_range,h_theor,theta_range,theta_theor
3.2727272727272725e-06,3.914045032760281e-05,57.27272727272729,6.62288981121153e-10
3.313131313131313e-06,3.423717926931407e-05,59.0909090909091,5.831350583191719e-10
3.353535353535353e-06,2.9948127565195168e-05,60.909090909090914,5.102615995737451e-10
3.3939393939393937e-06,2.619641116667001e-05,62.72727272727273,4.43335205562534e-10
3.4343434343434343e-06,2.2914665816751157e-05,64.54545454545456,3.820492190699005e-10
3.4747474747474744e-06,2.004405760284392e-05,66.36363636363637,3.2612349973135323e-10
3.515151515151515e-06,1.753306251728185e-05,68.18181818181819,2.753023076784041e-10
3.5555555555555555e-06,1.5336627973581837e-05,70.0,2.2935313953374162e-10
3.5959595959595956e-06,1.3415350692229426e-05,71.81818181818183,1.8806727489869283e-10
3.636363636363636e-06,1.173474734713925e-05,73.63636363636364,1.512567435761968e-10
3.6767676767676767e-06,1.0264690726260133e-05,75.45454545454545,1.1875427545339129e-10
3.717171717171717e-06,8.978793145914307e-06,77.27272727272727,9.041249086800655e-11
3.7575757575757574e-06,7.853978114741041e-06,79.09090909090911,6.610314822790097e-11
3.797979797979798e-06,6.8700801896099684e-06,80.90909090909092,4.5716380384392617e-11
3.8383838383838385e-06,6.009433463804713e-06,82.72727272727273,2.915991333017801e-11
3.878787878787879e-06,5.256613746912511e-06,84.54545454545456,1.635949803052802e-11
3.919191919191919e-06,4.598093440549479e-06,86.36363636363637,7.257141965793394e-12
3.959595959595959e-06,4.022072841251366e-06,88.18181818181819,1.8122582480812524e-12
4e-06,3.5182089064420626e-06,90.0,0.0
